City,District,Name,Address,Phone,Garde_Status
Marrakech,Medina,Pharmacie Dar El Bacha,"Pharmacie Dar El Bacha, 17, av. fatima zohra r’mila en face conseil des olama",0524 38 69 88,Garde Nuit (Ouvert de 20h à 9h)
Marrakech,Medina,Pharmacie Mamounia,"Pharmacie Mamounia, rue oukba bnou nafii en face de jotiat sidi mimoune, et près du lycée laâyoune et ittisalat al maghreb",0524 38 41 46,Ouvert en ce moment
Marrakech,Nakhil sud,Pharmacie Lakhili,"Pharmacie Lakhili, 103, lakhili à côté de massi, route de la forêt entre souk r'bii et atacadao nakhil sud",0540 12 57 02,Garde Nuit (Ouvert de 20h à 9h)
Marrakech,Nakhil sud,Pharmacie Tallaght,"Pharmacie Tallaght, tallaght, nakhil sud, après douar lek’hili en face du groupe des ecoles nakhil",0524 40 30 11,Ouvert en ce moment
Marrakech,Sidi ghanem azzouzia,Pharmacie AlAkhawayne,"Pharmacie AlAkhawayne, 2531  Quartier Al Azzouzia   douar Chaouf El Ayyadi",0524 33 52 53,Garde Nuit (Ouvert de 20h à 9h)
Marrakech,Sidi ghanem azzouzia,Pharmacie Bismi Allah,"Pharmacie Bismi Allah, de Mc Do rte de Safi après le pont 2ème feu rouge à gauche tournez à droite à côté Arrond. Sidi Ghanem",0524 33 57 49,Ouvert en ce moment
Marrakech,Sidi ghanem azzouzia,Pharmacie Bassatine Targa,"Pharmacie Bassatine Targa, espaces essaada, op. bassatine targa, près de l'etablissement targa junior et le nouveau rond point de l'azzouzia à gauche",0524 35 85 01,Ouvert en ce moment
Marrakech,Sidi youssef,Pharmacie Aya,"Pharmacie Aya, 1436, Oasis SYBA Rte Office de la Formation Professionnelle Hôtellerie et Tourisme, Rte douar koukou douar Dlam à droite",0808 54 76 45,Garde Nuit (Ouvert de 20h à 9h)
Marrakech,Sidi youssef,Pharmacie Ali,"Pharmacie Ali, Av. Houman Fatouaki Souikat My Ali face Mosquée Nour à côté du Db. Ameziane Sidi Youssef Ben Ali N° 687Bis",0524 40 62 62,Ouvert en ce moment
Marrakech,Targa,Pharmacie Sidi M'barek,"Pharmacie Sidi M'barek, 460  lotiss. Sidi M’barek   Targa",0524 34 90 96,Ouvert en ce moment
Marrakech,Targa,Pharmacie Sofia,"Pharmacie Sofia, Lot. Sofia, Résid. Bahia à côté Café Mawazine Targa, rte Sidi M'barek vers Targa, devant Agence BMCE Targa Sofia",0524 34 83 48,Garde Nuit (Ouvert de 20h à 9h)
Casablanca,Ain chock,Pharmacie des Anges,"Pharmacie des Anges, quartier Oulad Taleb, rue10 n°9 résid. Sans Pareil Majorelle",0522 21 88 86,Ouvert toute la journée (24 heures)
Casablanca,Ain chock,Pharmacie Al khalil,"Pharmacie Al khalil, 506, bd El Khalil, hay Mly. Abdellah",0522 52 87 67,Ouvert en ce moment
Casablanca,Ain sebaa,Pharmacie Arraefa,"Pharmacie Arraefa, 66 Bis, allée des Casuarinas",0522 35 27 40,Ouvert toute la journée (24 heures)
Casablanca,Ain sebaa,Pharmacie Achourouk,"Pharmacie Achourouk, quartier Beausite, 06 n°1 EQ8, Addoha I",0522 67 36 67,Ouvert en ce moment
Casablanca,Al azhar panorama,Pharmacie Mouad Anassi,"Pharmacie Mouad Anassi, 15  Bab Anassi Al Azhar   GH9 E8",0522 75 74 77,Ouvert en ce moment
Casablanca,Anassi,Pharmacie  Casa Imane,"Pharmacie  Casa Imane, 44  lotiss. Agdal",0522 11 00 25,Ouvert en ce moment
Casablanca,Belvedere et roches noires,Pharmacie Emile Zola,"Pharmacie Emile Zola, 221, bd Emile Zola",0522 24 23 83,Garde Nuit (Ouvert de 20h à 9h)
Casablanca,Belvedere et roches noires,Pharmacie Vie,"Pharmacie Vie, bd Ba Hmad ang. rue Berlioz",0522 40 59 01,Ouvert en ce moment
Casablanca,El fida et mers sultan,Pharmacie Al Mouna,"Pharmacie Al Mouna, hay Omar Ibn Khattab, rue 1 n°57 bis",0522 82 67 08,Ouvert toute la journée (24 heures)
Casablanca,El fida et mers sultan,Pharmacie Beyrouth,"Pharmacie Beyrouth, 99 Bis, rue de Beyrouth, hay Laâyoune",0522 85 59 48,Ouvert toute la journée (24 heures)
Casablanca,El fida et mers sultan,Pharmacie Ezohours,"Pharmacie Ezohours, hay Aïn Chiffa I, rue 2 n°30",0522 83 31 49,Ouvert en ce moment
Casablanca,El fida et mers sultan,Pharmacie le Galien,"Pharmacie le Galien, 77, rue de Rome",0522 80 67 87,Ouvert en ce moment
Casablanca,Hay hassani et el oulfa,Pharmacie Mohamed Guessous,"Pharmacie Mohamed Guessous, Lot. Missimi, rue 20 n°7, bd. Oued Abi Raqraq",0522 89 03 79,Ouvert en ce moment
Casablanca,Hay hassani et el oulfa,Pharmacie Boukhari,"Pharmacie Boukhari, hay El Oulfa, Grp. Y rue 33 n°43 bd. Oued Draâ",0522 90 52 23,Ouvert en ce moment
Casablanca,Hay hassani et el oulfa,Pharmacie dar Najme,"Pharmacie dar Najme, rue Hassane (hay El Hana), lotiss. Sofia 2 n°7",0522 95 15 37,Ouvert toute la journée (24 heures)
Casablanca,Hay hassani et el oulfa,Pharmacie Hôpital Cheikh Khalifa,"Pharmacie Hôpital Cheikh Khalifa,   hay El Oulfa   Opération Al Firdaous Gh 26  imm. 249 n°1 Oulfa",0522 93 17 73,Ouvert toute la journée (24 heures)
Casablanca,Hay mohammadi,Pharmacie Afak,"Pharmacie Afak, hay Mohammadi, bloc 22 rue 6 n°74",0522 62 83 70,Ouvert en ce moment
Casablanca,Hay mohammadi,Pharmacie Adil,"Pharmacie Adil, hay Mohammadi, ElMassira imm.71, n°3",0522 63 87 58,Ouvert en ce moment
Casablanca,Hay mohammadi,Pharmacie Kissariat Aziza,"Pharmacie Kissariat Aziza, 86, bd de la Grande Ceinture (h.Mohammadi), Kiss. Aziza n°21",0522 63 51 13,Ouvert en ce moment
Casablanca,Hay mohammadi,Pharmacie Ouzineb,"Pharmacie Ouzineb, 161, Bd Oqba Bnou Nafiaa",0522 62 00 95,Ouvert en ce moment
Casablanca,Hay mohammadi,Pharmacie des Abattoirs,"Pharmacie des Abattoirs, N°78, Rue Abou Bakr El Wahrani . La Villette",0522 62 56 51,Ouvert en ce moment
Casablanca,Hay mohammadi,Pharmacie Centrale Aïn Borja,"Pharmacie Centrale Aïn Borja, hay arsalane, rue 7 lot. 82",0522 60 41 76,Ouvert en ce moment
Casablanca,Hay mohammadi,Pharmacie AlWissal,"Pharmacie AlWissal, bd Dr Mohamed Jennaoui -ex Mostachfa Med V, projet Hassan II bloc 2 n°18",0522 63 66 33,Ouvert en ce moment
Casablanca,Hay mohammadi,Pharmacie des Oudayas,"Pharmacie des Oudayas, rue des Thermes ang. rue Loudayas",0522 61 30 26,Ouvert en ce moment
Casablanca,Lissasfa,Pharmacie Zoraiai,"Pharmacie Zoraiai, quartier Lissasfa II (route d'El Jadida), bloc D n° 250",0522 65 10 74,Ouvert toute la journée (24 heures)
Casablanca,Sidi bernoussi,Pharmacie Douaa,"Pharmacie Douaa, cité Sidi Bernoussi II, rue 4 n°1 Souk Alak",0522 76 74 53,Ouvert en ce moment
Casablanca,Sidi bernoussi,Pharmacie la Rosa,"Pharmacie la Rosa, 7, bd Chefchaouni, rte 110 km 11",0522 34 33 00,Ouvert toute la journée (24 heures)
Casablanca,Sidi maarouf,Pharmacie Nour Al Mostakbal,"Pharmacie Nour Al Mostakbal, lotiss. Al Moustakbal, GH49 imm.3A 445 n°3",0522 33 51 91,Ouvert toute la journée (24 heures)
Casablanca,Sidi maarouf,Pharmacie AlOukhoua,"Pharmacie AlOukhoua, 88, lotiss. Rakia , Ct rte 1100 lot ""G""",0522 32 12 40,Ouvert toute la journée (24 heures)
Casablanca,Sidi moumen,Pharmacie Rhamna,"Pharmacie Rhamna, N°22, Avenue Lhoussine Assoussi, Hay Sidi Moumen",0522 34 38 40,Ouvert en ce moment
Casablanca,Sidi othmane et mly rachid,Pharmacie El Youssoufi,"Pharmacie El Youssoufi, lotiss. Ennour, rue 9 n°19, cité Sidi Othmane",0522 57 96 62,Ouvert en ce moment
Casablanca,Sidi othmane et mly rachid,Pharmacie du Théâtre,"Pharmacie du Théâtre, 38  avenue Akid Allam   Salama 3 Hay Moulay Rachid",0522 37 01 22,Ouvert toute la journée (24 heures)
Casablanca,Sidi othmane et mly rachid,Pharmacie Assidk,"Pharmacie Assidk, hay Moulay Rachid, grp. 5, rue 15 n°36",0522 70 92 77,Ouvert en ce moment
Casablanca,Ville et bourgogne et maarif,Pharmacie Moderne,"Pharmacie Moderne, 68, bd du Onze Janvier",0522 22 49 15,Ouvert en ce moment
Casablanca,Ville et bourgogne et maarif,Pharmacie de la Marine,"Pharmacie de la Marine, 45, bd Bine El Ouidane",0522 26 71 39,Ouvert en ce moment
Casablanca,Ville et bourgogne et maarif,Pharmacie Universelle,"Pharmacie Universelle, 398, bd Brahim Roudani",0522 25 31 42,Ouvert en ce moment
Casablanca,Ville et bourgogne et maarif,Pharmacie Ernest Renan,"Pharmacie Ernest Renan, 34  rue Ahmed Akrad - ex Aviateurs  Oasis",0522 99 49 75,Ouvert en ce moment
Casablanca,Ville et bourgogne et maarif,Pharmacie La Durance,"Pharmacie La Durance, 15, rue de la Durance",0522 85 66 72,Ouvert en ce moment
Casablanca,Ville et bourgogne et maarif,Pharmacie Maurice Gaud,"Pharmacie Maurice Gaud, 48, rue des Hôpitaux",0522 20 20 65,Ouvert toute la journée (24 heures)
Casablanca,Ville et bourgogne et maarif,Pharmacie Lahjajma,"Pharmacie Lahjajma, avenue Mohamed Sijelmassi -ex Phare résid. Taghzout",0522 29 35 64,Ouvert toute la journée (24 heures)
Casablanca,Ain chock,Pharmacie des Anges,"Pharmacie des Anges, quartier Oulad Taleb, rue10 n°9 résid. Sans Pareil Majorelle",0522 21 88 86,Ouvert toute la journée (24 heures)
Casablanca,Ain chock,Pharmacie Al khalil,"Pharmacie Al khalil, 506, bd El Khalil, hay Mly. Abdellah",0522 52 87 67,Ouvert en ce moment
Casablanca,Ain sebaa,Pharmacie Arraefa,"Pharmacie Arraefa, 66 Bis, allée des Casuarinas",0522 35 27 40,Ouvert toute la journée (24 heures)
Casablanca,Ain sebaa,Pharmacie Achourouk,"Pharmacie Achourouk, quartier Beausite, 06 n°1 EQ8, Addoha I",0522 67 36 67,Ouvert en ce moment
Casablanca,Al azhar panorama,Pharmacie Mouad Anassi,"Pharmacie Mouad Anassi, 15  Bab Anassi Al Azhar   GH9 E8",0522 75 74 77,Ouvert en ce moment
Casablanca,Anassi,Pharmacie  Casa Imane,"Pharmacie  Casa Imane, 44  lotiss. Agdal",0522 11 00 25,Ouvert en ce moment
Casablanca,Belvedere et roches noires,Pharmacie Emile Zola,"Pharmacie Emile Zola, 221, bd Emile Zola",0522 24 23 83,Garde Nuit (Ouvert de 20h à 9h)
Casablanca,Belvedere et roches noires,Pharmacie Vie,"Pharmacie Vie, bd Ba Hmad ang. rue Berlioz",0522 40 59 01,Ouvert en ce moment
Casablanca,El fida et mers sultan,Pharmacie Al Mouna,"Pharmacie Al Mouna, hay Omar Ibn Khattab, rue 1 n°57 bis",0522 82 67 08,Ouvert toute la journée (24 heures)
Casablanca,El fida et mers sultan,Pharmacie Beyrouth,"Pharmacie Beyrouth, 99 Bis, rue de Beyrouth, hay Laâyoune",0522 85 59 48,Ouvert toute la journée (24 heures)
Casablanca,El fida et mers sultan,Pharmacie Ezohours,"Pharmacie Ezohours, hay Aïn Chiffa I, rue 2 n°30",0522 83 31 49,Ouvert en ce moment
Casablanca,El fida et mers sultan,Pharmacie le Galien,"Pharmacie le Galien, 77, rue de Rome",0522 80 67 87,Ouvert en ce moment
Casablanca,Hay hassani et el oulfa,Pharmacie Mohamed Guessous,"Pharmacie Mohamed Guessous, Lot. Missimi, rue 20 n°7, bd. Oued Abi Raqraq",0522 89 03 79,Ouvert en ce moment
Casablanca,Hay hassani et el oulfa,Pharmacie Boukhari,"Pharmacie Boukhari, hay El Oulfa, Grp. Y rue 33 n°43 bd. Oued Draâ",0522 90 52 23,Ouvert en ce moment
Casablanca,Hay hassani et el oulfa,Pharmacie dar Najme,"Pharmacie dar Najme, rue Hassane (hay El Hana), lotiss. Sofia 2 n°7",0522 95 15 37,Ouvert toute la journée (24 heures)
Casablanca,Hay hassani et el oulfa,Pharmacie Hôpital Cheikh Khalifa,"Pharmacie Hôpital Cheikh Khalifa,   hay El Oulfa   Opération Al Firdaous Gh 26  imm. 249 n°1 Oulfa",0522 93 17 73,Ouvert toute la journée (24 heures)
Casablanca,Hay mohammadi,Pharmacie Afak,"Pharmacie Afak, hay Mohammadi, bloc 22 rue 6 n°74",0522 62 83 70,Ouvert en ce moment
Casablanca,Hay mohammadi,Pharmacie Adil,"Pharmacie Adil, hay Mohammadi, ElMassira imm.71, n°3",0522 63 87 58,Ouvert en ce moment
Casablanca,Hay mohammadi,Pharmacie Kissariat Aziza,"Pharmacie Kissariat Aziza, 86, bd de la Grande Ceinture (h.Mohammadi), Kiss. Aziza n°21",0522 63 51 13,Ouvert en ce moment
Casablanca,Hay mohammadi,Pharmacie Ouzineb,"Pharmacie Ouzineb, 161, Bd Oqba Bnou Nafiaa",0522 62 00 95,Ouvert en ce moment
Casablanca,Hay mohammadi,Pharmacie des Abattoirs,"Pharmacie des Abattoirs, N°78, Rue Abou Bakr El Wahrani . La Villette",0522 62 56 51,Ouvert en ce moment
